lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
RNY5	SSB	RNA-Protein	Binding	Homo sapiens	Small cytoplasmic RNAs are stably associated with at least two proteins, Ro60 and La, to form Ro ribonucleoprotein complexes.	NULL	NULL	RNA immunoprecipitation (RIP)	1383550
roX1	msl-2	RNA-Protein	Binding	Drosophila melanogaster	roX1 and roX2 are bound by MLE and MSL2	NULL	enhance the possibility of short- and long-range interactions on the X chromosome.	iCLIP	23870142
roX1	mle	RNA-Protein	Binding	Drosophila melanogaster	roX1 and roX2 are bound by MLE and MSL2	NULL	enhance the possibility of short- and long-range interactions on the X chromosome.	iCLIP	23870142
roX1	msl-1	RNA-Protein	Binding	Drosophila melanogaster	rox1RNA and MSL-1 protein are colocalized to exactly the same chromosomal bands	NULL	NULL	In vitro	10445033
roX1	Sxl	DNA-Protein	Binding	Drosophila melanogaster	The rox RNAs are expressed in all somatic cells in males and in diploid cells colocalize with the MSL proteins to a subregion of the nucleus that correspond to the X chromosome. 	NULL	NULL	in vitro hybridization-based technique	9038336
roX2	msl-2	RNA-Protein	Binding	Drosophila melanogaster	roX1 and roX2 are bound by MLE and MSL2	NULL	enhance the possibility of short- and long-range interactions on the X chromosome.	iCLIP	23870142
roX2	mle	RNA-Protein	Binding	Drosophila melanogaster	roX1 and roX2 are bound by MLE and MSL2	NULL	enhance the possibility of short- and long-range interactions on the X chromosome.	iCLIP	23870142
roX2	Sxl	DNA-Protein	Regulation	Drosophila melanogaster	The roX1 sequence contains two potential SXL binding sites.	NULL	NULL	in vitro hybridization-based technique	9038336
RP3-510D11.2	TP53	DNA-TF	Binding	Homo sapiens	the direct binding of p53 at each lncRNA locus by using publicly available p53 ChIP-seq data and ChIP-quantitative PCR	MCF-7 cells 	Global Run-On sequencing 	ChIP-seq	25813522
RUNXOR	RUNX1	RNA-TF	Binding	Homo sapiens	RUNXOR binds RUNX1 protein and EZH2 to the gene promoter	Leukemic cells	NULL	RNA immunoprecipitation (RIP)	24752773
RUNXOR	EZH2	RNA-Protein	Binding	Homo sapiens	RUNXOR binds RUNX1 protein and EZH2 to the gene promoter	Leukemic cells	NULL	RNA immunoprecipitation (RIP)	24752773
RUNXOR	RUNX1	RNA-DNA	Regulation	Homo sapiens	Using the RAT assay, we detected the interaction of RUNXOR lncRNA with several chromatin DNAs that are involved in RUNX1 translocation, including RUNX1 at chromosome 21, EVI1 at chromosome 3 and ETO at chromosome 8	Leukemic cells	NULL	the RAT assay	24752773
RUNXOR	RUNX1T1	RNA-DNA	Regulation	Homo sapiens	Using the RAT assay, we detected the interaction of RUNXOR lncRNA with several chromatin DNAs that are involved in RUNX1 translocation, including RUNX1 at chromosome 21, EVI1 at chromosome 3 and ETO at chromosome 8	Leukemic cells	NULL	the RAT assay	24752773
RUNXOR	MECOM	RNA-DNA	Regulation	Homo sapiens	Using the RAT assay, we detected the interaction of RUNXOR lncRNA with several chromatin DNAs that are involved in RUNX1 translocation, including RUNX1 at chromosome 21, EVI1 at chromosome 3 and ETO at chromosome 8	Leukemic cells	NULL	the RAT assay	24752773
SCA8	stau	RNA-Protein	Binding	Drosophila melanogaster	SCA8 can recruit Staufen	NULL	NULL	in vitro	14972680
shlnc-EC6	Rac1	RNA-Protein	Binding	Mus musculus	Rac1 is a direct target of shlnc-EC6	erythropoiesis	regulate mouse erythropoiesis	Duel luciferase reporter assays	26098172
Sirt1 AS	Sirt1	RNA-RNA	Regulation	Mus musculus	Overexpression of Sirt1 AS lncRNA increased the level of Sirt1 protein	heart,kidney,liver,spleen,brain,muscle and white adipose	C2C12 differentiation	in vivo	24480449
Six3os1	Eya1	RNA-Protein	Binding	Mus musculus	Ezh2 and Eya1/3/4 directly bind Six3OS.	retina	NULL	RIP	21936910
Six3os1	Eya3	RNA-Protein	Binding	Mus musculus	Ezh2 and Eya1/3/4 directly bind Six3OS.	retina	NULL	RIP	21936910
Six3os1	Eya4	RNA-Protein	Binding	Mus musculus	Ezh2 and Eya1/3/4 directly bind Six3OS.	retina	NULL	RIP	21936910
Six3os1	Ezh2	RNA-Protein	Binding	Mus musculus	Ezh2 and Eya1/3/4 directly bind Six3OS	retina	retinal progenitor	RIP	21936910
sme2	mei2	RNA-Protein	Binding	Schizosaccharomyces pombe 972h-	meiRNA interacts with mei2 RNA-binding protein, essential for the initiation of premeiotic DNA synthesis and meiosis.	NULL	NULL	in vivo and in vitro	7520368
SMIM10L2A	CDKN1A	RNA-DNA	Regulation	Homo sapiens	We further validated the association of LED to p21 enhancer (p21e) domain using ChIRP-qPCR	NULL	NULL	ChIRP	25813522
SMIM10L2A	TP53	DNA-TF	Binding	Homo sapiens	the direct binding of p53 at each lncRNA locus by using publicly available p53 ChIP-seq data and ChIP-quantitative PCR	MCF-7 cells 	Global Run-On sequencing	ChIP-seq	25813522
SNHG15	MYC	DNA-TF	Binding	Homo sapiens	presence of a MYC binding ChIP-seq peak proximal (+/- 0.7kb) to the lncRNA TSS.	NULL	NULL	ChIP-seq	25587025
SNHG16	MYC	DNA-TF	Binding	Homo sapiens	presence of a MYC binding ChIP-seq peak proximal (+/- 0.8kb) to the lncRNA TSS.	NULL	NULL	ChIP-seq	25587025
Snord116	Rbbp5	RNA-Protein	Binding	Mus musculus	116HG binds to RBBP5 and target loci genome wide	NULL	balance energy consumption	ChIRP-seq	23771028
Snord116	Crebbp	RNA-DNA	Binding	Mus musculus	116HG binds to RBBP5 and target loci genome wide	NULL	balance energy consumption	ChIRP-seq	23771028
Snord116	Igf2r	RNA-DNA	Binding	Mus musculus	116HG binds to RBBP5 and target loci genome wide	NULL	balance energy consumption	ChIRP-seq	23771028
Snord116	Mtor	RNA-DNA	Binding	Mus musculus	116HG binds to RBBP5 and target loci genome wide	NULL	balance energy consumption	ChIRP-seq	23771028
SOX2-OT	EZH2	RNA-Protein	Regulation	Homo sapiens	knocking down Sox2ot decreased EZH2 expression	lung squamous cell carcinoma	knocking down Sox2ot inhibited cell proliferation	qPCR, RNAi and RIP 	24927902
SPRY4-IT1	ZNF703	RNA-Protein	Regulation	Homo sapiens	ZNF703 was a target of SPRY4-IT1 and was downregulated by SPRY4-IT1 knockdown.	NULL	ZNF703 overexpression partially compromised the effects of knockdown of SPRY40-IT1 on breast cancer proliferation/apoptosis	in vitro	25742952
SPRY4-IT1	LPIN2	RNA-Protein	Binding	Homo sapiens	SPRY4-IT1 Is Localized to the Polysome Fraction and Binds the Lipid Phosphatase Lipin 2	melanoma cells	induce apoptosis	RIP	25344859
SPRY4-IT1	EZH2	RNA-Protein	Binding	Homo sapiens	Chromatin immunoprecipitation assays indicated that EZH2 could directly bind to the SPRY4-IT1 promoter region (192 to 362bp) and mediate H3K27me3 modification 	NSCLC tissue	SPRY4-IT1 promotes NSCLC cell proliferation and metastasis	ChIP and Luciferase assays	24967960
SRA1	SPEN	RNA-Protein	Binding	Homo sapiens	SHARP binds the RNA coactivator SRA(SHARP directly binds SRA RNA)	NULL	NULL	in vitro	11331609
SRG1	SPT6	DNA-Protein	Regulation	Saccharomyces cerevisiae	We find that Spt2 and Spt6 are required for the repression of SER3 by SRG1 transcription.	NULL	NULL	Chromatin immunoprecipitation	21220514
SRG1	SPT2	DNA-Protein	Regulation	Saccharomyces cerevisiae	We find that Spt2 and Spt6 are required for the repression of SER3 by SRG1 transcription.	NULL	NULL	Chromatin immunoprecipitation	21220514
ssrS	rpoD	RNA-Protein	Binding	Escherichia coli	these results indicate the interaction between 6S RNA and 70-holoenzyme is specific and direct.	NULL	NULL	RIP	22976942
TARID	TCF21	RNA-DNA	Regulation	Homo sapiens	TARID interacts with both the TCF21 promoter and GADD45A, a regulator of DNA demethylation.	human cancer cells and HEK293 cell	TARID directs demethylation and activation of the tumor suppressor TCF21	RNA Pull-Down Assays and Northern Blot Analysis	25087872
TARID	GADD45A	RNA-Protein	Binding	Homo sapiens	TARID interacts with both the TCF21 promoter and GADD45A, a regulator of DNA demethylation.	human cancer cells and HEK293 cell	TARID directs demethylation and activation of the tumor suppressor TCF21	RNA Pull-Down Assays and Northern Blot Analysis	25087872
TDRG1	MIR526B	RNA-RNA	Binding	Homo sapiens	has-miR-526b binds to and influences the transcription activity of lincRNA-NR_024015	NULL	cell proliferation	in vivo	24595048
TER2	TERT	RNA-Protein	Binding	Arabidopsis thaliana	TERT preferentially associates with TER2 over TER2 in vivo	NULL	NULL	in vivo	26075395
TERC	TERT	RNA-Protein	Binding	Homo sapiens	tolemerase RNA binds with hTERT and regulates cell cycle	HeLa cervical carcinoma cells	S phase of the cell cycle	in vitro	16339074
TERC	XRCC6	RNA-Protein	Binding	Homo sapiens	Human Ku70/80 interacts directly with hTR, the RNA component of human telomerase	NULL	NULL	EMSA	15824061
TERC	XRCC5	RNA-Protein	Binding	Homo sapiens	Human Ku70/80 interacts directly with hTR, the RNA component of human telomerase	NULL	NULL	EMSA	15824061
TERC	PINX1	RNA-Protein	Binding	Homo sapiens	In vitro PinX1 binds directly to the hTR-binding domain, as well as to the hTR subunit.	NULL	NULL	In vitro	15381700
TERC	HNRNPA1	RNA-Protein	Binding	Homo sapiens	A1/UP1 can interact directly with the RNA component of human telomerase (hTR).	NULL	NULL	the binding assay	11376145
TERC	SCGB1A1	RNA-Protein	Binding	Homo sapiens	UP1 can bind to the 5'half of hTR.	NULL	NULL	the binding assay	11376145
TERC	HNRNPC	RNA-Protein	Binding	Homo sapiens	HnRNPs C1 and C2 associate directly with hTR in the native human telomerase holoenzyme.	NULL	NULL	UV cross-linking and immunoprecipitation	11074006
TERC	TERT	RNA-Protein	Binding	Homo sapiens	Each of these elements independently binds to the telomerase reverse transcriptase.	NULL	NULL	in vivo and in vitro	10983983
TERC	RPL22	RNA-Protein	Binding	Homo sapiens	hStau and L22 specifically associate with hTR in vivo	NULL	NULL	hTR	10712515
TERC	STAU1	RNA-Protein	Binding	Homo sapiens	hStau and L22 specifically associate with hTR in vivo	NULL	NULL	hTR	10712515
TERC	TEP1	RNA-Protein	Binding	Homo sapiens	TP1 is not a general RNA binding protein, but specifically binds telomerase RNA.	NULL	NULL	in Vitro and in vivo	9020079
TERC	NFYA	DNA-TF	Regulation	Homo sapiens	Chromatin immunoprecipitation revealed binding of NF-Y, Sp1 and TFIIB to the promoter in vivo.	NULL	NULL	Chromatin immunoprecipitation	12586348
TERC	NFYB	DNA-TF	Regulation	Homo sapiens	Chromatin immunoprecipitation revealed binding of NF-Y, Sp1 and TFIIB to the promoter in vivo.	NULL	NULL	Chromatin immunoprecipitation	12586348
TERC	NFYC	DNA-TF	Regulation	Homo sapiens	Chromatin immunoprecipitation revealed binding of NF-Y, Sp1 and TFIIB to the promoter in vivo.	NULL	NULL	Chromatin immunoprecipitation	12586348
TERC	SP1	DNA-TF	Regulation	Homo sapiens	Chromatin immunoprecipitation revealed binding of NF-Y, Sp1 and TFIIB to the promoter in vivo.	NULL	NULL	Chromatin immunoprecipitation	12586348
TERC	GTF2B	DNA-Protein	Regulation	Homo sapiens	Chromatin immunoprecipitation revealed binding of NF-Y, Sp1 and TFIIB to the promoter in vivo.	NULL	NULL	Chromatin immunoprecipitation	12586348
TERRA	KDM1A	RNA-Protein	Binding	Homo sapiens	LSD1 Binds the UUAGGG Repeat Array of TERRA Transcripts through Its SWIRM/AOL-N-ter Domain	NULL	NULL	RNA immunoprecipitation	24529708
TERRA	HNRNPA1	RNA-Protein	Binding	Homo sapiens	On binding of TERRA, hnRNPA1 can alleviate the TERRA-mediated inhibition of telomerase.	NULL	NULL	RNA-ChIP	23935072
TERRA	YKU80	RNA-Protein	Binding	Saccharomyces cerevisiae	Ku70/80 binds TERRA	NULL	NULL	RNA-hromatin immunoprecipitation (RNA-hIP)	22719262
TERRA	YKU70	RNA-Protein	Binding	Saccharomyces cerevisiae	Ku70/80 binds TERRA	NULL	NULL	RNA-hromatin immunoprecipitation (RNA-hIP)	22719262
TERRA	ORC1	RNA-Protein	Binding	Homo sapiens	TERRA RNA can interact directly with the TRF2 GAR and ORC1 to form a stable ternary complex.	NULL	helps maintain heterochromatin and DNA stability at telomere repeats	RNA-ChIP	19716786
TERRA	CBX1	RNA-Protein	Binding	Homo sapiens	HP1a and b bound TERRA RNA, whereas control vector and HP1g did not bind TERRA in the RNA-IP assay.	NULL	helps maintain heterochromatin and DNA stability at telomere repeats	RNA-ChIP	19716786
TERRA	CBX5	RNA-Protein	Binding	Homo sapiens	HP1a and b bound TERRA RNA, whereas control vector and HP1g did not bind TERRA in the RNA-IP assay.	NULL	helps maintain heterochromatin and DNA stability at telomere repeats	RNA-ChIP	19716786
TERRA	H3F3A	RNA-Protein	Binding	Homo sapiens	TERRA was also highly enriched in H3 K9me3 RNA-ChIP	NULL	helps maintain heterochromatin and DNA stability at telomere repeats	RNA-ChIP	19716786
TERRA	TRF1	RNA-Protein	Binding	Homo sapiens	TRF1 and TRF2 associate directly with TERRA RNA in vivo in multiple cell types	NULL	helps maintain heterochromatin and DNA stability at telomere repeats	RNA IP	19716786
TERRA	TRF2	RNA-Protein	Binding	Homo sapiens	TRF1 and TRF2 associate directly with TERRA RNA in vivo in multiple cell types	NULL	helps maintain heterochromatin and DNA stability at telomere repeats	RNA IP	19716786
TERRA	SUV39H1	RNA-Protein	Binding	Homo sapiens	SUV39H1 can bind directly via its N-terminal chromodomain the UUAGGG-repeat array of the TERRA transcript, with moderate specificity.			EMSA	25359189
TH2LCRR	WDR5	RNA-Protein	Binding	Homo sapiens	Lineage-specific lncRNAs bind to hnRNPs and WDR5	lymphocyte	NULL	RIP	25903499
TH2LCRR	IL4	DNA-DNA	Regulation	Homo sapiens	the novel TH2-LCR lncRNA (AC004041.2) was co-expressed with IL4, IL5 and IL13 genes	lymphocyte	NULL	in vitro	25903499
TH2LCRR	IL5	DNA-DNA	Regulation	Homo sapiens	the novel TH2-LCR lncRNA (AC004041.2) was co-expressed with IL4, IL5 and IL13 genes	lymphocyte	NULL	in vitro	25903499
TH2LCRR	IL13	DNA-DNA	Regulation	Homo sapiens	the novel TH2-LCR lncRNA (AC004041.2) was co-expressed with IL4, IL5 and IL13 genes	lymphocyte	NULL	in vitro	25903499
THRIL	HNRNPL	RNA-Protein	Binding	Homo sapiens	Linc1992 Interacts with hnRNPL to Regulate TNF epsilon Induction	NULL	NULL	ChIRP	24371310
THRIL	TNF	RNA-DNA	Binding	Homo sapiens	Linc1992 Interacts with hnRNPL to Regulate TNF epsilon Induction	NULL	NULL	RNA-ChIP	24371310
tie-1AS	tie1	RNA-RNA	Binding	Danio rerio	In embryonic zebrafish, the tie-1AS lncRNA directly binds tie-1 mRNA	NULL	NULL	In vitro and in vivo	19880500
TINCR	PGLYRP3	RNA-RNA	Binding	Homo sapiens	TINCR may control differentiation mRNA abundance post-transcriptionally, as indicated by TINCR cytoplasmic localization, TINCR binding to differentiation mRNAs and the effect of TINCR on differentiation mRNA stability.	NULL	Deficiencies of TINCR result in abnormal skin barrier function, including ichthyosis vulgaris and harlequin ichthyosis	RNA immunoprecipitation	23201690
TINCR	STAU1	RNA-Protein	Binding	Homo sapiens	TINCR RNA binds to the staufen1 (STAU1) protein directly	NULL	NULL	in vitro protein-RNA complex immunoprecipitation	23201690
TINCR	MAF	RNA-DNA	Regulation	Homo sapiens	ANCR and TINCR lncRNAs Are Upstream Regulators of MAF:MAFB. TINCR is a positive regulator of MAF:MAFB,we observed that TINCR depletion in tissue reduced levels of MAF:MAFB mRNA	NULL	the terminal differentiation-induced lncRNA, TINCR, promotes terminal differentiation	ChIP and ChIP-Seq Analysis	25805135
TINCR	MAFB	RNA-DNA	Regulation	Homo sapiens	ANCR and TINCR lncRNAs Are Upstream Regulators of MAF:MAFB. TINCR is a positive regulator of MAF:MAFB,we observed that TINCR depletion in tissue reduced levels of MAF:MAFB mRNA	NULL	the terminal differentiation-induced lncRNA, TINCR, promotes terminal differentiation	ChIP and ChIP-Seq Analysis	25805135
TINCR	STAU1	RNA-Protein	Binding	Homo sapiens	TINCR could bind to STAU1 (staufen1) protein, and influence KLF2 mRNA stability and expression, then KLF2 regulated cyclin-dependent kinase 	gastric carcinoma (GC)	affecting the proliferation and apoptosis of GC cells	RNA IP	25728677
TINCR	KLF2	RNA-Protein	Binding	Homo sapiens	KLF2 is a bona fide SMD target in GC cells	gastric carcinoma (GC)	affecting the proliferation and apoptosis of GC cells	RNA immunoprecipitation (RIP)	25728677
TLC1	EST1	RNA-Protein	Binding	Saccharomyces cerevisiae	an essential Est1-binding interface in TLC1 can be functionally replaced with a heterologous RNA-Protein direct-binding system.	NULL	NULL	SHAPE analysis	25737580
TLC1	YKU80	RNA-Protein	Binding	Saccharomyces cerevisiae	An interaction between Ku and TLC1 RNA was demonstrated by co-immunoprecipitation.	NULL	NULL	Co-Immunoprecipitation	15531893
TLC1	YKU70	RNA-Protein	Binding	Saccharomyces cerevisiae	An interaction between Ku and TLC1 RNA was demonstrated by co-immunoprecipitation.	NULL	NULL	Co-Immunoprecipitation	15531893
TLC1	EST1	RNA-Protein	Binding	Saccharomyces cerevisiae	So Est1 in the telomerase complex is to bind to the Tlc1 telomerase RNA via an RRM.	NULL	NULL	Mutation	10688642
Tmevpg1	H3f3a	RNA-Protein	Regulation	Mus musculus	NeST RNA was found to bind WDR5, a component of the histone H3 lysine 4 methytransferase complex, and to alter histone 3 methylation at the interferon gamma locus.	NULL	NULL	in viro	23415224
Tmevpg1	Wdr5	RNA-Protein	Binding	Mus musculus	NeST RNA was found to bind WDR5, a component of the histone H3 lysine 4 methytransferase complex, and to alter histone 3 methylation at the interferon gamma locus.	NULL	NULL	in viro	23415224
Tmevpg1	Stat4	DNA-TF	Regulation	Mus musculus	Tmevpg1 is regulated by Th1 transcription factors	Th1	NULL	in vitro	22851706
Tmevpg1	Tbx21	DNA-TF	Regulation	Mus musculus	Tmevpg1 is regulated by Th1 transcription factors	Th1	NULL	in vitro	22851706
Tmevpg1	Nfkb1	RNA-TF	Regulation	Mus musculus	Here, we show that T-bet guides epigenetic remodeling of Tmevpg1 proximal and distal enhancers leading to recruitment of stimulus-inducible transcription factors, NF-	Th1 cells	NULL	ISH and Luciferase Assay	25225667
Tmevpg1	Ets1	RNA-TF	Regulation	Mus musculus	Here, we show that T-bet guides epigenetic remodeling of Tmevpg1 proximal and distal enhancers leading to recruitment of stimulus-inducible transcription factors, NF-	Th1 cells	NULL	ISH and Luciferase Assay	25225667
TMPOP2	EZH2	RNA-Protein	Binding	Homo sapiens	TI17313 as EZH2-binding lncRNA in cervical cancer	cervical cancer	inhibited CC cell migration and invasion	RIP	25007342
TP53COR1	HIF1A	RNA-TF	Binding	Homo sapiens	Hypoxia/HIF-1α-induced lincRNA-p21 is able to bind HIF-1α and VHL and thus disrupts the VHL-HIF-1α interaction	NULL	NULL	in vitro binding assay	24316222
TP53COR1	CTNNB1	RNA-RNA	Regulation	Homo sapiens	LincRNA-p21 selectively interacts with targetCTNNB1andJUNBmRNAs	NULL	related to cervical carcinoma	RNA immunoprecipitation	22841487
TP53COR1	JUNB	RNA-RNA	Regulation	Homo sapiens	LincRNA-p21 selectively interacts with targetCTNNB1andJUNBmRNAs	NULL	related to cervical carcinoma	RNA immunoprecipitation	22841487
TP53COR1	AGO2	RNA-RNA	Regulation	Homo sapiens	HuR and let-7/Ago2 binding to lincRNA-p21 is crucial for lincRNA-p21 decay.	NULL	related to cervical carcinoma	RNA immunoprecipitation	22841487
TP53COR1	let-7	RNA-RNA	Regulation	Homo sapiens	HuR and let-7/Ago2 binding to lincRNA-p21 is crucial for lincRNA-p21 decay.	NULL	related to cervical carcinoma	RNA immunoprecipitation	22841487
TP53COR1	VHL	RNA-Protein	Binding	Homo sapiens	Hypoxia/HIF-1α-induced lincRNA-p21 is able to bind HIF-1α and VHL and thus disrupts the VHL-HIF-1α interaction	NULL	NULL	in vitro binding assay	24316222
TP53COR1	ELAVL1	RNA-Protein	Binding	Homo sapiens	Association of the RNA-binding protein HuR with lincRNA-p21 favored the recruitment of let-7/Ago2 to lincRNA-p21, leading to lower lincRNA-p21 stability.	NULL	HuR controls translation of a subset of target mRNAs by influencing lincRNA-p21 levels.	RIP	22841487
TP53COR1	HNRNPK	RNA-Protein	Binding	Homo sapiens	lincRNA-p21 physically interacts with hnRNP-K	NULL	signal of triggering apoptosis	RIP	20673990
TP53COR1	HIF1A	DNA-TF	Binding	Homo sapiens	LincRNA-p21 Is a Direct Target of HIF-1 epsilon	NULL	NULL	ChIP	24316222
TP53COR1	TP53	DNA-TF	Binding	Homo sapiens	lincRNA-p21 and lincRNA-Mkln1 are bona fide p53 transcriptional targets	NULL	NULL	ChIP	20673990
TP53COR1	ING1	DNA-Protein	Binding	Homo sapiens	ING1b directly binds to the lincRNA-p21 promoter and regulates its expression at the transcriptional level. 	NULL	LincRNA-p21 in ING1b-induced apoptosis	ChIP and TUNEL assay	25741593
Trp53cor1	Hnrnpk	RNA-Protein	Binding	Mus musculus	LincRNA-p21 acts with hnRNP-K as a transcriptional co-activator of p53-mediated expression of p21	primary mouse embryonic fibroblasts (MEFs)	LincRNA-p21 enforces the G1/S checkpoint	RNA FISH, ChIP-qPCR	24857549
TP53COR1	MIR130B	RNA-RNA	Binding	Homo sapiens	lincRNA-p21 acted as an endogenous sponge by directly binding to miR-130b and decreased miR-130b expression	Vascular Endothelial Cells	-	-	26273737
TP53TG1	TP53	DNA-TF	Regulation	Homo sapiens	Northern blot analysis confirmed that expression of TP53TG1 was regulated by wild-type TP53	NULL	NULL	In vitro	9713990
Trp53cor1	Setdb1	RNA-TF	Binding	Mus musculus	lincRNA-p21 associates with the H3K9 methyltransferase SETDB1 and the maintenance DNA methyltransferase DNMT1	Induced pluripotent stem cells	does not promote apoptosis or cell senescence in reprogramming	RNA immunoprecipitation(RIP)	25512341
Trp53cor1	Mir130a	RNA-RNA	Regulation	Mus musculus	Subsequent assessment of the microRNAs present in the pulldown complex by using real-time quantitative (q)PCR analysis led to the identification of bona fide miRNAs that interact with and control the abundance of lincRNA-p21.	NULL	NULL	In vitro	22813890
Trp53cor1	Mirlet7b	RNA-RNA	Regulation	Mus musculus	Subsequent assessment of the microRNAs present in the pulldown complex by using real-time quantitative (q)PCR analysis led to the identification of bona fide miRNAs that interact with and control the abundance of lincRNA-p21.	NULL	NULL	In vitro	22813890
Trp53cor1	Mirlet7c-1	RNA-RNA	Regulation	Mus musculus	Subsequent assessment of the microRNAs present in the pulldown complex by using real-time quantitative (q)PCR analysis led to the identification of bona fide miRNAs that interact with and control the abundance of lincRNA-p21.	NULL	NULL	In vitro	22813890
Trp53cor1	Mir221	RNA-RNA	Regulation	Mus musculus	Subsequent assessment of the microRNAs present in the pulldown complex by using real-time quantitative (q)PCR analysis led to the identification of bona fide miRNAs that interact with and control the abundance of lincRNA-p21.	NULL	NULL	In vitro	22813890
Trp53cor1	Dnmt1	RNA-Protein	Binding	Mus musculus	lincRNA-p21 associates with the H3K9 methyltransferase SETDB1 and the maintenance DNA methyltransferase DNMT2	Induced pluripotent stem cells	NULL	RNA immunoprecipitation(RIP)	25512341
Trp53cor1	Mdm2	RNA-Protein	Binding	Mus musculus	lincRNA-p21, a transcriptional target of p53, feeds back to enhance p53 transcriptional activity, at least in part, via binding to mouse double minute 2 (MDM2), an E3 ubiquitin-protein ligase.	coronary artery	NULL	RIP	25156994
Trp53cor1	Hnrnpk	RNA-Protein	Binding	Mus musculus	lincRNA-p21 physically interacts with hnRNP-K	NULL	signal of triggering apoptosis	RIP	20673990
Trp53cor1	Trp53	DNA-TF	Binding	Mus musculus	lincRNA-p21 and lincRNA-Mkln1 are bona fide p53 transcriptional targets	NULL	NULL	ChIP	20673990
Tsix	Xist	RNA-RNA	Regulation	Mus musculus	Tsix blocks Xist upregulation and prevents the recruitment of silencing factors in cis.	NULL	NULL	in vitro	18974356
Tsix	Ezh2	RNA-Protein	Binding	Mus musculus	Our RIP-seq produced a specific and reproducible profile for the PRC2 transcriptome.	NULL	bind to the PRC2-chromatin- modifying complex in mESCs.	RIP-seq	21172659
Tsix	Dnmt3a	RNA-Protein	Binding	Mus musculus	Dnmt3a was reproducibly found in a complex with Tsix RNA in both male and female ES cells	ES cell	NULL	RNA-ChIP	16507360
Tsix	Xist	RNA-DNA	Regulation	Mus musculus	The noncoding Tsix RNA is an antisense repressor of Xist and regulates X inactivation in mice.	extraembryonic	NULL	In vitro	21852535
Tsix	Xist	RNA-DNA	Regulation	Mus musculus	Tsix directly regulates its transcription.	embryonic stem	NULL	ChIP and RNA-ChIP	16507360
Tsix	Ctcf	DNA-TF	Binding	Mus musculus	CTCF specifically binds Tsix in vitro	fibroblasts	NULL	ChIP	11743158
Ttc39aos1	Pycard	RNA-Protein	Regulation	Mus musculus	lincRNA-EPS acts by repressing a number of pro-apoptotic proteins, most prominently the caspase activating adaptor protein Pycard.	NULL	Depleting lincRNA-EPS by shRNAs severely compromised terminal differentiation of erythroid progen-itors and resulted in elevated apoptosis.	in vitro	24609766
TUG1	TP53	RNA-TF	Regulation	Homo sapiens	TUG1 is induced by p53, binds to PRC2	NULL	counterbalance mutHTT cytotoxicity	In vitro	19571010
TUG1	MIR144	RNA-RNA	Binding	Homo sapiens	TUG1 influenced BTB permeability via binding to miR-144	glioma	regulates blood-tumor barrier permeability	RIP	26078353
TUG1	PKD2	RNA-Protein	Binding	Homo sapiens	This movement is the consequence of binding of methylated and unmethylated Pc2 to the ncRNAs TUG1 and MALAT1/NEAT2, located in PcGs and ICGs, respectively.	lung	achieving coordinated gene expression programs	CLIP	22078878
TUG1	EZH2	RNA-Protein	Binding	Homo sapiens	TUG1 is induced by p53, binds to PRC2	NULL	NULL	RIP	19571010
TUG1	SUZ12	RNA-Protein	Binding	Homo sapiens	TUG1 is induced by p53, binds to PRC2	NULL	NULL	RIP	19571010
TUG1	MIR145	RNA-RNA	Binding	Homo sapiens	Taken together, these data suggested that miR-145 could directly bind to TUG1 and negatively regulated TUG1 expression	human bladder cancer cells	-	luciferase reporter	26318860
TUG1	AGO2	RNA-Protein	Binding	Homo sapiens	RIP experiments were performed to determine whether TUG1 and miR-145 are in the same RISC complex	human bladder cancer cells	-	RIP	26318860
Tunar	Hnrnpk	RNA-Protein	Binding	Mus musculus	TUNA functions by interacting with the RNA-binding proteins PTBP1, hnRNP-K, and nucleolin	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	RIP	24530304
Tunar	Ncl	RNA-Protein	Binding	Mus musculus	TUNA functions by interacting with the RNA-binding proteins PTBP1, hnRNP-K, and nucleolin	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	RIP	24530304
Tunar	Ptbp1	RNA-Protein	Binding	Mus musculus	TUNA functions by interacting with the RNA-binding proteins PTBP1, hnRNP-K, and nucleolin	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	RIP	24530304
Tunar	Fgf4	RNA-DNA	Binding	Mus musculus	TUNA physically binds to the Nanog, Sox2, and Fgf4 promoters and activates transcription by recruiting the multiprotein complex containing PTBP1, hnRNP-K, and NCL	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	ChIRP	24530304
Tunar	Sox2	RNA-DNA	Binding	Mus musculus	TUNA physically binds to the Nanog, Sox2, and Fgf4 promoters and activates transcription by recruiting the multiprotein complex containing PTBP1, hnRNP-K, and NCL	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	ChIRP	24530304
Tunar	Nanog	RNA-DNA	Binding	Mus musculus	TUNA physically binds to the Nanog, Sox2, and Fgf4 promoters and activates transcription by recruiting the multiprotein complex containing PTBP1, hnRNP-K, and NCL	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	ChIRP	24530304
